1242, 287
1242, 287
1242, 287
1242, 287
1238, 290
1233, 294
1227, 298
1220, 303
1219, 308
1055, 311
857, 317
665, 322
530, 325
437, 328
373, 331
328, 333
296, 334
277, 336
265, 338
257, 338
251, 337
245, 335
237, 338
229, 341
223, 344
218, 346
212, 351
208, 354
204, 355
203, 354
203, 354
209, 353
235, 353
253, 355
538, 494
744, 595
887, 666
999, 726
1078, 770
1144, 799
1185, 823
1212, 839
1225, 848
1228, 850
1224, 849
1204, 832
1191, 822
1182, 817
1175, 807
1170, 798
1167, 791
1165, 785
1164, 781
1164, 777
1164, 773
1162, 767
1161, 762
1161, 758
1161, 754
1161, 751
1163, 749
1168, 747
1175, 743
1181, 740
1191, 737
1199, 734
1205, 730
1210, 727
1215, 724
1221, 720
1228, 714
1233, 709
1237, 706
1239, 705
1240, 704
1243, 702
1246, 700
1252, 697
1278, 687
1295, 680
1305, 676
1313, 673
1317, 671
1320, 668
1322, 664
1326, 654
1329, 646
1332, 640
1335, 635
1337, 631
1339, 629
1340, 625
1338, 624
1336, 623
1331, 625
1328, 627
1330, 622
1330, 620
1331, 616
1334, 609
1339, 602
1343, 597
1348, 593
1353, 591
1364, 588
1373, 585
1380, 581
1386, 578
1391, 575
1394, 573
1396, 572
1397, 571
1397, 571
1397, 569
1397, 566
1397, 562
1397, 559
1397, 556
1398, 552
1398, 549
1396, 544
1392, 539
1385, 535
1375, 531
1360, 526
1344, 522
1334, 517
1326, 512
1321, 506
1317, 502
1314, 500
1310, 498
1308, 496
1305, 494
1304, 493
1303, 492
1299, 490
1290, 485
1231, 488
1055, 453
879, 416
726, 383
608, 367
519, 361
453, 360
407, 359
373, 352
347, 342
330, 329
319, 323
311, 319
306, 317
302, 316
295, 317
284, 320
271, 320
258, 319
246, 318
234, 317
226, 315
221, 315
218, 314
216, 313
215, 312
215, 311
217, 310
218, 310
218, 310
218, 312
217, 314
215, 317
208, 330
203, 339
199, 345
196, 352
194, 356
193, 359
193, 361
193, 362
192, 362
191, 362
191, 360
191, 359
190, 357
188, 355
185, 353
185, 352
192, 353
204, 353
213, 354
220, 356
226, 357
229, 357
231, 357
232, 357
233, 357
235, 359
236, 361
237, 363
238, 363
238, 366
240, 369
248, 364
257, 374
271, 378
280, 379
295, 386
307, 391
310, 385
309, 375
308, 368
308, 362
308, 357
309, 354
309, 353
308, 353
308, 354
308, 355
311, 354
314, 352
317, 350
320, 348
321, 348
322, 349
323, 350
323, 353
323, 354
323, 353
331, 352
335, 352
347, 352
358, 352
365, 351
372, 351
377, 350
382, 350
385, 350
387, 353
388, 356
389, 360
390, 363
390, 366
390, 369
390, 369
389, 367
388, 366
388, 366
388, 366
388, 364
387, 360
387, 358
388, 357
394, 356
400, 355
415, 354
424, 350
430, 348
434, 347
439, 345
442, 344
444, 343
446, 342
448, 342
448, 342
445, 343
440, 348
437, 352
433, 354
430, 363
427, 371
425, 377
423, 378
422, 379
419, 379
412, 373
406, 367
1115, 442
1123, 442
1133, 442
1142, 442
1147, 442
1150, 445
1153, 449
1156, 451
1161, 452
1169, 449
1177, 450
1183, 451
1189, 452
1195, 453
1200, 453
1203, 453
1206, 452
1209, 451
1212, 450
1215, 449
1218, 448
1219, 448
1219, 448
1219, 448
1218, 448
1213, 454
1211, 457
1196, 529
1178, 604
1158, 685
1143, 742
1130, 782
1119, 811
1112, 830
1108, 842
1112, 845
1116, 846
1121, 844
1125, 842
1130, 836
1135, 829
1137, 825
1140, 820
1141, 816
1141, 812
1141, 808
1142, 804
1146, 800
1158, 795
1167, 790
1177, 784
1185, 778
1191, 774
1196, 770
1200, 768
1202, 766
1202, 765
1205, 760
1207, 757
1208, 754
1207, 749
1206, 745
1206, 743
1207, 741
1208, 739
1212, 737
1226, 732
1241, 727
1251, 722
1262, 715
1271, 710
1277, 707
1283, 703
1287, 700
1289, 698
1289, 696
1289, 694
1289, 691
1289, 688
1289, 685
1288, 682
1287, 679
1286, 677
1284, 675
1283, 673
1283, 670
1285, 665
1286, 661
1287, 658
1287, 656
1289, 653
1292, 648
1293, 644
1295, 641
1298, 638
1300, 635
1301, 633
1302, 631
1304, 628
1306, 626
1306, 626
1307, 625
1312, 618
1305, 617
1292, 623
1283, 627
1093, 596
867, 541
708, 507
598, 484
521, 466
467, 456
431, 451
406, 445
386, 440
372, 437
362, 437
355, 435
349, 433
347, 431
346, 429
344, 428
340, 431
336, 435
331, 439
325, 444
319, 448
314, 451
306, 454
300, 455
295, 456
291, 455
288, 453
285, 452
283, 452
282, 452
281, 452
280, 452
279, 452
276, 453
273, 454
271, 455
264, 456
260, 456
257, 455
255, 454
254, 454
253, 455
253, 456
254, 457
257, 457
257, 457
258, 458
258, 458
258, 458
258, 457
257, 456
256, 455
256, 455
256, 455
257, 455
